Core.Based.Statistical.Area.CBSA.,State,Population.2010,log.pop.2010,O3.8.hr.ppm.,PM2.5.Wtd.AM._g.m3.,PM2.5.24.hr._g.m3.,SO2.1.hr.ppb.,CO.8.hr.ppm.,Pb.3.mo.microg.m3.,NO2.AM.ppb.,NO2.1.hr.ppb.,PM10.24.hr.microg.m3.,Per.capita.personal.income.Dollars.2014,Per.capita.personal.income.Dollars.2015,Per.capita.personal.income.Percent.growth,Real.per.capita.personal.income.2014.Chained.2009.dollars,Real.per.capita.personal.income.2015.Chained.2009.dollars,Real.per.capita.personal.income.Percent.growth.x,Total.Adjusted.Sales.of.Distillate.Fuel.Oil,Population.State,Total.Adjusted.Sales.of.Distillate.Fuel.Oil.per.Capita,Electricty.sale.2015,Electricty.sale.2015.per.Capita,Average.temperature,Average.annual.precipitation...rainfall,X2015.GDP,X2015.GDP.per.Capita
"Akron, OH",Ohio,703200,5.847078862,0.061,9.7,22,10,1,NA,NA,NA,NA,43108,44668,3.6,44306,45693,3.1,"2,228,586","11,605,090",0.192035219,149213,0.012857548,51.55,36.06,34419,48946.24573
"Albany-Schenectady-Troy, NY",New York,870716,5.939876525,0.068,6.3,18,4,1,NA,NA,NA,NA,50826,52899,4.1,46941,48677,3.7,"2,621,582","19,747,183",0.132757265,148914,0.007541025,48.2,39.4,51120,58710.30279
"Albany, GA",Georgia,157308,5.19675081,NA,8.7,20,NA,NA,NA,NA,NA,NA,33574,34326,2.2,36880,37563,1.9,"1,744,976","10,199,398",0.171086176,135878,0.013322159,66.1,51.47,5152,32751.03618
"Albany, OR",Oregon,116672,5.066966643,NA,NA,NA,NA,NA,NA,NA,NA,NA,35379,37355,5.6,34478,36625,6.2,"737,393","4,024,634",0.18321989,47264,0.011743677,N/A,N/A,3570,30598.60121
"Albuquerque, NM",New Mexico,887077,5.947961319,0.067,7.6,19,6,2,0,10,44,205,36944,38563,4.4,34894,36321,4.1,"655,679","2,080,328",0.315180587,23094,0.011101134,57.1,9.39,42673,48105.1814
"Alexandria, LA",Louisiana,153922,5.187300698,NA,NA,NA,NA,NA,NA,NA,NA,NA,39025,40812,4.6,40539,42418,4.6,"1,486,065","4,668,960",0.318286085,91676,0.019635208,66.85,60.89,5345,34725.38039
"Allentown-Bethlehem-Easton, PA-NJ",New Jersey,821173,5.914434661,0.075,10.5,25,19,NA,0.11,11,48,31,46052,47770,3.7,42162,43667,3.6,"1,247,774","8,935,421",0.13964356,75490,0.008448399,51.05,45.35,36968,45018.52837
"Allentown-Bethlehem-Easton, PA-NJ",New Jersey,821173,5.914434661,0.075,10.5,25,19,NA,0.11,11,48,31,46052,47770,3.7,42162,43667,3.6,"1,247,774","8,935,421",0.13964356,75490,0.008448399,51.05,45.35,36968,45018.52837
"Allentown-Bethlehem-Easton, PA-NJ",Pennsylvania,821173,5.914434661,0.075,10.5,25,19,NA,0.11,11,48,31,46052,47770,3.7,42162,43667,3.6,"2,723,811","12,791,904",0.212932414,146344,0.011440361,51.05,45.35,36968,45018.52837
"Allentown-Bethlehem-Easton, PA-NJ",Pennsylvania,821173,5.914434661,0.075,10.5,25,19,NA,0.11,11,48,31,46052,47770,3.7,42162,43667,3.6,"2,723,811","12,791,904",0.212932414,146344,0.011440361,51.05,45.35,36968,45018.52837
"Altoona, PA",Pennsylvania,127089,5.104107962,0.062,8.2,22,13,NA,NA,NA,NA,34,39134,40919,4.6,39997,41948,4.9,"2,723,811","12,791,904",0.212932414,146344,0.011440361,49,42.44,5067,39869.69761
"Amarillo, TX",Texas,251933,5.401285058,0.064,NA,NA,17,NA,0,NA,NA,NA,42264,43648,3.3,41874,43042,2.8,"7,315,567","27,429,639",0.266703,392337,0.014303396,57.3,20.31,12031,47754.76019
"Ames, IA",Iowa,89542,4.952026791,0.06,NA,NA,NA,NA,NA,NA,NA,NA,37349,39204,5,37889,39406,4,"1,095,423","3,121,997",0.350872534,47147,0.015101552,49.45,35.83,4962,55415.33582
"Anchorage, AK",Alaska,380821,5.580720889,0.044,6.5,29,NA,3,NA,NA,NA,115,57066,58638,2.8,48074,49183,2.3,"562,729","737,709",0.762806201,6159,0.00834882,37,16.57,28876,75825.65037
"Ann Arbor, MI",Michigan,344791,5.537555921,0.074,7.9,18,NA,NA,NA,NA,NA,NA,49211,51400,4.4,44495,46255,4,"1,266,949","9,917,715",0.127746058,102480,0.010333025,49.55,37.55,21212,61521.32741
"Appleton, WI",Wisconsin,225666,5.353466131,0.066,6.7,21,NA,NA,NA,NA,NA,NA,43905,45314,3.2,43708,44975,2.9,"1,102,031","5,767,891",0.191063077,68699,0.011910593,45.7,31.05,12318,54585.09479
"Asheville, NC",North Carolina,424858,5.6282438,0.068,8.5,40,NA,NA,NA,NA,NA,NA,37349,38831,4,36887,38302,3.8,"1,380,867","10,035,186",0.137602532,133848,0.013337869,56.5,36.95,16888,39749.75168
"Athens-Clarke County, GA",Georgia,192541,5.284523223,0.069,8.3,15,NA,NA,NA,NA,NA,NA,33718,34596,2.6,33786,34648,2.6,"1,744,976","10,199,398",0.171086176,135878,0.013322159,62.4,46.38,8142,42287.09729
"Atlanta-Sandy Springs-Roswell, GA",Georgia,5286728,6.723186967,0.078,10.8,24,32,2,NA,20,61,43,43493,45092,3.7,41686,43026,3.2,"1,744,976","10,199,398",0.171086176,135878,0.013322159,62.55,49.74,339203,64161.23546
"Atlantic City-Hammonton, NJ",New Jersey,274549,5.438619866,0.063,7.2,15,5,NA,NA,NA,NA,NA,41931,43695,4.2,36288,38137,5.1,"1,247,774","8,935,421",0.13964356,75490,0.008448399,54.35,41.73,13261,48301.03187
"Augusta-Richmond County, GA-SC",South Carolina,564873,5.751950817,0.065,9.6,30,58,NA,NA,NA,NA,35,35805,37151,3.8,37047,38418,3.7,"878,915","4,894,834",0.179559715,81328,0.016615068,63.85,43.58,22313,39500.91436
"Augusta-Richmond County, GA-SC",South Carolina,564873,5.751950817,0.065,9.6,30,58,NA,NA,NA,NA,35,35805,37151,3.8,37047,38418,3.7,"878,915","4,894,834",0.179559715,81328,0.016615068,63.85,43.58,22313,39500.91436
"Augusta-Richmond County, GA-SC",Georgia,564873,5.751950817,0.065,9.6,30,58,NA,NA,NA,NA,35,35805,37151,3.8,37047,38418,3.7,"1,744,976","10,199,398",0.171086176,135878,0.013322159,63.85,43.58,22313,39500.91436
"Augusta-Richmond County, GA-SC",Georgia,564873,5.751950817,0.065,9.6,30,58,NA,NA,NA,NA,35,35805,37151,3.8,37047,38418,3.7,"1,744,976","10,199,398",0.171086176,135878,0.013322159,63.85,43.58,22313,39500.91436
"Austin-Round Rock, TX",Texas,1716289,6.234590419,0.064,NA,NA,4,NA,NA,14,47,72,49001,51014,4.1,45552,47052,3.3,"7,315,567","27,429,639",0.266703,392337,0.014303396,69.4,34.25,119949,69888.57937
"Bakersfield, CA",California,839631,5.924088465,0.088,15.9,51,NA,1,NA,12,50,98,36673,37355,1.9,34432,35016,1.7,"4,097,124","38,993,940",0.105070788,261170,0.006697707,65.1,6.45,35829,42672.31677
"Baltimore-Columbia-Towson, MD",Maryland,2710489,6.433047649,0.088,9.7,22,13,2,NA,17,55,32,53585,55275,3.2,45887,47168,2.8,"808,485","5,994,983",0.134860266,61782,0.010305617,58.45,40.72,181419,66932.20301
"Bangor, ME",Maine,153923,5.187303519,0.057,7.3,17,NA,NA,NA,NA,NA,45,35629,37032,3.9,34083,35410,3.9,"539,918","1,329,453",0.406120412,11888,0.008942024,44.15,41.91,5884,38226.90566
"Barnstable Town, MA",Massachusetts,215888,5.334228503,0.065,NA,NA,NA,NA,NA,NA,NA,NA,61588,64730,5.1,55387,57956,4.6,"1,250,536","6,784,240",0.184329564,54621,0.00805116,50.5,47.63,10898,50479.87846
"Baton Rouge, LA",Louisiana,802484,5.904436382,0.071,9.9,26,22,1,NA,11,45,69,42101,43474,3.3,41590,42918,3.2,"1,486,065","4,668,960",0.318286085,91676,0.019635208,68.35,60.6,53689,66903.51459
"Bay City, MI",Michigan,107771,5.032501913,NA,6.8,20,NA,NA,NA,NA,NA,NA,36486,37884,3.8,37434,39214,4.8,"1,266,949","9,917,715",0.127746058,102480,0.010333025,46.25,N/A,3148,29210.08435
"Beaumont-Port Arthur, TX",Texas,403190,5.605509752,0.069,NA,NA,73,0,NA,5,31,NA,39827,41872,5.1,40674,42595,4.7,"7,315,567","27,429,639",0.266703,392337,0.014303396,68.6,60.38,24647,61129.98834
"Beckley, WV",West Virginia,124898,5.096555484,NA,NA,NA,NA,NA,NA,NA,NA,NA,33035,33538,1.5,38363,38595,0.6,"495,967","1,841,053",0.269393114,32303,0.017545937,49.05,39.97,4529,36261.58946
"Bellingham, WA",Washington,201140,5.303498446,0.045,NA,NA,NA,NA,NA,NA,NA,NA,41456,42511,2.5,37995,38836,2.2,"1,086,935","7,160,290",0.151800416,90116,0.012585524,50.3,36.29,9917,49303.96739
"Bend-Redmond, OR",Oregon,157733,5.197922563,NA,NA,NA,NA,NA,NA,NA,NA,NA,41835,44435,6.2,39905,42084,5.5,"737,393","4,024,634",0.18321989,47264,0.011743677,46.5,11.38,7341,46540.67316
"Billings, MT",Montana,158934,5.201216814,NA,NA,NA,18,NA,NA,NA,NA,NA,44791,46052,2.8,42114,42763,1.5,"364,904","1,032,073",0.353564137,14207,0.013765499,48.05,13.66,9764,61434.30606
"Binghamton, NY",New York,251725,5.40092635,NA,NA,NA,NA,NA,NA,NA,NA,NA,38153,39714,4.1,36935,38327,3.8,"2,621,582","19,747,183",0.132757265,148914,0.007541025,46.15,39.32,9283,36877.54494
"Birmingham-Hoover, AL",Alabama,1128047,6.052327195,0.073,10.8,22,11,2,NA,14,53,66,43301,44568,2.9,44465,45838,3.1,"1,107,330","4,853,875",0.228133193,88846,0.018304138,63.3,53.71,64083,56808.80318
"Bismarck, ND",North Dakota,114778,5.059858653,0.054,4.6,17,11,0,NA,5,15,53,52718,54124,2.7,51738,52729,1.9,"803,239","756,835",1.061313232,18129,0.023953702,42.8,17.82,7851,68401.61006
"Blacksburg-Christiansburg-Radford, VA",Virginia,178237,5.250997864,0.064,NA,NA,NA,NA,NA,NA,NA,NA,32898,34370,4.5,34219,35283,3.1,"1,392,675","8,367,587",0.166436871,112009,0.013386057,51.5,40.86,6683,37495.02067
"Bloomington, IL",Illinois,186133,5.269823377,0.065,7.6,16,NA,NA,NA,NA,NA,NA,43411,44397,2.3,42511,43300,1.9,"2,313,149","12,839,047",0.180165163,138620,0.010796752,51.2,39.34,10414,55949.2406
"Bloomington, IN",Indiana,159549,5.202894087,0.069,7.8,20,NA,NA,NA,NA,NA,NA,33800,35203,4.2,32775,34142,4.2,"1,810,264","6,612,768",0.273752837,104515,0.015805031,53.25,47.32,6636,41592.23812
"Boise City, ID",Idaho,616561,5.78997605,0.072,8.4,21,4,3,NA,10,41,72,38631,39956,3.4,37246,38500,3.4,"523,561","1,652,828",0.316766778,23059,0.01395124,55.6,18.78,30297,49138.69025
"Boston-Cambridge-Newton, MA-NH",New Hampshire,4552402,6.658240605,0.07,7,16,13,1,NA,15,49,30,65142,68292,4.8,54516,56814,4.2,"310,765","1,330,111",0.233638396,10999,0.008269235,51.4,43.56,396549,87107.6412
"Boston-Cambridge-Newton, MA-NH",New Hampshire,4552402,6.658240605,0.07,7,16,13,1,NA,15,49,30,65142,68292,4.8,54516,56814,4.2,"310,765","1,330,111",0.233638396,10999,0.008269235,51.4,43.56,396549,87107.6412
"Boston-Cambridge-Newton, MA-NH",Massachusetts,4552402,6.658240605,0.07,7,16,13,1,NA,15,49,30,65142,68292,4.8,54516,56814,4.2,"1,250,536","6,784,240",0.184329564,54621,0.00805116,51.4,43.56,396549,87107.6412
"Boston-Cambridge-Newton, MA-NH",Massachusetts,4552402,6.658240605,0.07,7,16,13,1,NA,15,49,30,65142,68292,4.8,54516,56814,4.2,"1,250,536","6,784,240",0.184329564,54621,0.00805116,51.4,43.56,396549,87107.6412
"Boulder, CO",Colorado,294567,5.469184092,0.053,6.9,26,NA,NA,NA,NA,NA,44,58917,60220,2.2,49391,50155,1.5,"844,873","5,448,819",0.155056169,54116,0.009931693,51.55,20.66,23414,79486.16104
"Bowling Green, KY",Kentucky,158599,5.200300445,0.065,8.3,17,NA,0,NA,NA,NA,NA,33210,34461,3.8,35516,36902,3.9,"1,148,959","4,424,611",0.259674579,76039,0.017185466,57.9,49.68,6569,41418.92446
"Bremerton-Silverdale, WA",Washington,251133,5.399903785,NA,4.2,10,NA,NA,NA,NA,NA,NA,46798,47953,2.5,40644,41511,2.1,"1,086,935","7,160,290",0.151800416,90116,0.012585524,51.9,56.37,10201,40619.91057
"Bridgeport-Stamford-Norwalk, CT",Connecticut,916829,5.962288342,0.087,9.4,23,3,2,NA,NA,NA,30,104490,106382,1.8,80318,81225,1.1,"837,225","3,584,730",0.233553155,29476,0.008222656,52.35,42.8,101385,110582.2351
"Brownsville-Harlingen, TX",Texas,406220,5.608761302,0.055,9.6,26,NA,1,0,NA,NA,NA,25615,26826,4.7,27753,29312,5.6,"7,315,567","27,429,639",0.266703,392337,0.014303396,74.6,27.37,9574,23568.50967
"Brunswick, GA",Georgia,112370,5.050650381,0.057,7.9,34,NA,NA,NA,NA,NA,NA,34220,35696,4.3,36626,37819,3.3,"1,744,976","10,199,398",0.171086176,135878,0.013322159,68,45,3616,32179.40732
"Buffalo-Cheektowaga-Niagara Falls, NY",New York,1135509,6.055190581,0.074,6.8,15,18,1,NA,11,48,NA,43917,45769,4.2,43044,44725,3.9,"2,621,582","19,747,183",0.132757265,148914,0.007541025,48.25,40.47,56456,49718.67242
"Burlington-South Burlington, VT",Vermont,211261,5.324819331,0.063,5.4,13,2,1,NA,6,NA,33,50149,51565,2.8,44740,45852,2.5,"213,470","626,088",0.34095846,5521,0.008818249,45.85,36.79,12891,61019.30787
"Burlington, NC",North Carolina,151131,5.179353556,NA,NA,NA,NA,NA,NA,NA,NA,NA,34689,35839,3.3,35390,36542,3.3,"1,380,867","10,035,186",0.137602532,133848,0.013337869,59.6,44.92,5075,33580.13908
"Canton-Massillon, OH",Ohio,404422,5.606834773,0.072,9.3,20,NA,1,NA,NA,NA,NA,39420,40717,3.3,40739,41971,3,"2,228,586","11,605,090",0.192035219,149213,0.012857548,N/A,N/A,17420,43073.81893
"Cape Coral-Fort Myers, FL",Florida,618754,5.791518019,0.06,5.7,12,NA,NA,NA,NA,NA,35,43749,44583,1.9,42401,42888,1.1,"2,205,777","20,244,914",0.108954624,235599,0.011637441,75.1,55.92,25350,40969.43212
"Carson City, NV",Nevada,55274,4.742520894,0.066,4.4,13,NA,NA,NA,NA,NA,NA,39875,43443,8.9,38079,41804,9.8,"343,103","2,883,758",0.118977737,36020,0.012490646,50.9,9.63,3074,55613.851
"Casper, WY",Wyoming,75450,4.877659244,0.061,NA,NA,21,NA,NA,5,39,39,71378,68692,-3.8,66836,64223,-3.9,"639,654","586,555",1.09052689,16925,0.028854924,45.25,12.48,6069,80437.37575
"Cedar Rapids, IA",Iowa,257940,5.411518696,0.064,7.8,19,54,1,NA,NA,NA,48,46162,47468,2.8,47043,48487,3.1,"1,095,423","3,121,997",0.350872534,47147,0.015101552,50.15,37.63,18170,70442.73862
"Chambersburg-Waynesboro, PA",Pennsylvania,149618,5.174983845,0.06,NA,NA,NA,NA,0.01,NA,NA,NA,40651,41768,2.7,39628,40954,3.3,"2,723,811","12,791,904",0.212932414,146344,0.011440361,52.4,41.65,5001,33425.12265
"Champaign-Urbana, IL",Illinois,231891,5.365283893,0.066,7.6,15,4,0,NA,NA,NA,NA,42134,42863,1.7,41611,41858,0.6,"2,313,149","12,839,047",0.180165163,138620,0.010796752,50.9,39.68,10935,47155.77577
"Charleston-North Charleston, SC",South Carolina,664607,5.822564911,0.058,7.7,17,10,NA,NA,NA,NA,66,42038,43393,3.2,40229,41421,3,"878,915","4,894,834",0.179559715,81328,0.016615068,65.85,51.06,36424,54805.32104
"Charleston, WV",West Virginia,227078,5.356175061,0.069,8,16,7,1,NA,NA,NA,NA,40916,42039,2.7,42548,44080,3.6,"495,967","1,841,053",0.269393114,32303,0.017545937,55.7,44.02,13700,60331.69219
"Charlotte-Concord-Gastonia, NC-SC",South Carolina,2217012,6.345768044,0.074,9,21,4,1,NA,11,40,44,43026,44935,4.4,42357,44095,4.1,"878,915","4,894,834",0.179559715,81328,0.016615068,59.8,41.63,152447,68762.37025
"Charlotte-Concord-Gastonia, NC-SC",South Carolina,2217012,6.345768044,0.074,9,21,4,1,NA,11,40,44,43026,44935,4.4,42357,44095,4.1,"878,915","4,894,834",0.179559715,81328,0.016615068,59.8,41.63,152447,68762.37025
"Charlotte-Concord-Gastonia, NC-SC",North Carolina,2217012,6.345768044,0.074,9,21,4,1,NA,11,40,44,43026,44935,4.4,42357,44095,4.1,"1,380,867","10,035,186",0.137602532,133848,0.013337869,59.8,41.63,152447,68762.37025
"Charlotte-Concord-Gastonia, NC-SC",North Carolina,2217012,6.345768044,0.074,9,21,4,1,NA,11,40,44,43026,44935,4.4,42357,44095,4.1,"1,380,867","10,035,186",0.137602532,133848,0.013337869,59.8,41.63,152447,68762.37025
"Charlottesville, VA",Virginia,218705,5.339858712,0.062,6.8,14,NA,NA,NA,NA,NA,NA,50526,52795,4.5,47522,49393,3.9,"1,392,675","8,367,587",0.166436871,112009,0.013386057,57.1,47.68,12197,55769.1868
"Chattanooga, TN-GA",Tennessee,528143,5.722751528,0.069,9.2,17,NA,NA,NA,NA,NA,NA,39770,41225,3.7,40551,42083,3.8,"1,253,531","6,595,056",0.19007132,99632,0.015107074,60.85,52.44,24274,45961.03707
"Chattanooga, TN-GA",Tennessee,528143,5.722751528,0.069,9.2,17,NA,NA,NA,NA,NA,NA,39770,41225,3.7,40551,42083,3.8,"1,253,531","6,595,056",0.19007132,99632,0.015107074,60.85,52.44,24274,45961.03707
"Chattanooga, TN-GA",Georgia,528143,5.722751528,0.069,9.2,17,NA,NA,NA,NA,NA,NA,39770,41225,3.7,40551,42083,3.8,"1,744,976","10,199,398",0.171086176,135878,0.013322159,60.85,52.44,24274,45961.03707
"Chattanooga, TN-GA",Georgia,528143,5.722751528,0.069,9.2,17,NA,NA,NA,NA,NA,NA,39770,41225,3.7,40551,42083,3.8,"1,744,976","10,199,398",0.171086176,135878,0.013322159,60.85,52.44,24274,45961.03707
"Cheyenne, WY",Wyoming,91738,4.962549268,0.061,4.5,13,3,0,NA,4,33,39,49140,49796,1.3,46241,46549,0.7,"639,654","586,555",1.09052689,16925,0.028854924,46.4,15.66,5584,60868.99649
"Chicago-Naperville-Elgin, IL-IN-WI",Illinois,9461105,6.975941862,0.08,9.4,20,31,1,0.05,17,61,131,51597,53886,4.4,45425,47242,4,"2,313,149","12,839,047",0.180165163,138620,0.010796752,51.3,39.04,640656,67714.71197
"Chicago-Naperville-Elgin, IL-IN-WI",Illinois,9461105,6.975941862,0.08,9.4,20,31,1,0.05,17,61,131,51597,53886,4.4,45425,47242,4,"2,313,149","12,839,047",0.180165163,138620,0.010796752,51.3,39.04,640656,67714.71197
"Chicago-Naperville-Elgin, IL-IN-WI",Illinois,9461105,6.975941862,0.08,9.4,20,31,1,0.05,17,61,131,51597,53886,4.4,45425,47242,4,"2,313,149","12,839,047",0.180165163,138620,0.010796752,51.3,39.04,640656,67714.71197
"Chicago-Naperville-Elgin, IL-IN-WI",Indiana,9461105,6.975941862,0.08,9.4,20,31,1,0.05,17,61,131,51597,53886,4.4,45425,47242,4,"1,810,264","6,612,768",0.273752837,104515,0.015805031,51.3,39.04,640656,67714.71197
"Chicago-Naperville-Elgin, IL-IN-WI",Indiana,9461105,6.975941862,0.08,9.4,20,31,1,0.05,17,61,131,51597,53886,4.4,45425,47242,4,"1,810,264","6,612,768",0.273752837,104515,0.015805031,51.3,39.04,640656,67714.71197
"Chicago-Naperville-Elgin, IL-IN-WI",Indiana,9461105,6.975941862,0.08,9.4,20,31,1,0.05,17,61,131,51597,53886,4.4,45425,47242,4,"1,810,264","6,612,768",0.273752837,104515,0.015805031,51.3,39.04,640656,67714.71197
"Chicago-Naperville-Elgin, IL-IN-WI",Wisconsin,9461105,6.975941862,0.08,9.4,20,31,1,0.05,17,61,131,51597,53886,4.4,45425,47242,4,"1,102,031","5,767,891",0.191063077,68699,0.011910593,51.3,39.04,640656,67714.71197
"Chicago-Naperville-Elgin, IL-IN-WI",Wisconsin,9461105,6.975941862,0.08,9.4,20,31,1,0.05,17,61,131,51597,53886,4.4,45425,47242,4,"1,102,031","5,767,891",0.191063077,68699,0.011910593,51.3,39.04,640656,67714.71197
"Chicago-Naperville-Elgin, IL-IN-WI",Wisconsin,9461105,6.975941862,0.08,9.4,20,31,1,0.05,17,61,131,51597,53886,4.4,45425,47242,4,"1,102,031","5,767,891",0.191063077,68699,0.011910593,51.3,39.04,640656,67714.71197
"Chico, CA",California,220000,5.342422681,0.077,7.7,21,NA,1,NA,6,29,56,37576,39971,6.4,34460,36779,6.7,"4,097,124","38,993,940",0.105070788,261170,0.006697707,61.15,26.61,7559,34359.09091
"Cincinnati, OH-KY-IN",Kentucky,2114580,6.32522412,0.076,10.9,25,43,1,NA,21,56,85,45926,47254,2.9,47363,48589,2.6,"1,148,959","4,424,611",0.259674579,76039,0.017185466,54.65,42.24,127057,60086.16368
"Cincinnati, OH-KY-IN",Kentucky,2114580,6.32522412,0.076,10.9,25,43,1,NA,21,56,85,45926,47254,2.9,47363,48589,2.6,"1,148,959","4,424,611",0.259674579,76039,0.017185466,54.65,42.24,127057,60086.16368
"Cincinnati, OH-KY-IN",Kentucky,2114580,6.32522412,0.076,10.9,25,43,1,NA,21,56,85,45926,47254,2.9,47363,48589,2.6,"1,148,959","4,424,611",0.259674579,76039,0.017185466,54.65,42.24,127057,60086.16368
"Cincinnati, OH-KY-IN",Indiana,2114580,6.32522412,0.076,10.9,25,43,1,NA,21,56,85,45926,47254,2.9,47363,48589,2.6,"1,810,264","6,612,768",0.273752837,104515,0.015805031,54.65,42.24,127057,60086.16368
"Cincinnati, OH-KY-IN",Indiana,2114580,6.32522412,0.076,10.9,25,43,1,NA,21,56,85,45926,47254,2.9,47363,48589,2.6,"1,810,264","6,612,768",0.273752837,104515,0.015805031,54.65,42.24,127057,60086.16368
"Cincinnati, OH-KY-IN",Indiana,2114580,6.32522412,0.076,10.9,25,43,1,NA,21,56,85,45926,47254,2.9,47363,48589,2.6,"1,810,264","6,612,768",0.273752837,104515,0.015805031,54.65,42.24,127057,60086.16368
"Cincinnati, OH-KY-IN",Ohio,2114580,6.32522412,0.076,10.9,25,43,1,NA,21,56,85,45926,47254,2.9,47363,48589,2.6,"2,228,586","11,605,090",0.192035219,149213,0.012857548,54.65,42.24,127057,60086.16368
"Cincinnati, OH-KY-IN",Ohio,2114580,6.32522412,0.076,10.9,25,43,1,NA,21,56,85,45926,47254,2.9,47363,48589,2.6,"2,228,586","11,605,090",0.192035219,149213,0.012857548,54.65,42.24,127057,60086.16368
"Cincinnati, OH-KY-IN",Ohio,2114580,6.32522412,0.076,10.9,25,43,1,NA,21,56,85,45926,47254,2.9,47363,48589,2.6,"2,228,586","11,605,090",0.192035219,149213,0.012857548,54.65,42.24,127057,60086.16368
"Clarksville, TN-KY",Kentucky,260625,5.416016072,0.063,8.3,17,NA,NA,NA,NA,NA,NA,37554,38554,2.7,37903,38885,2.6,"1,148,959","4,424,611",0.259674579,76039,0.017185466,59.1,50.98,10973,42102.63789
"Clarksville, TN-KY",Kentucky,260625,5.416016072,0.063,8.3,17,NA,NA,NA,NA,NA,NA,37554,38554,2.7,37903,38885,2.6,"1,148,959","4,424,611",0.259674579,76039,0.017185466,59.1,50.98,10973,42102.63789
"Clarksville, TN-KY",Tennessee,260625,5.416016072,0.063,8.3,17,NA,NA,NA,NA,NA,NA,37554,38554,2.7,37903,38885,2.6,"1,253,531","6,595,056",0.19007132,99632,0.015107074,59.1,50.98,10973,42102.63789
"Clarksville, TN-KY",Tennessee,260625,5.416016072,0.063,8.3,17,NA,NA,NA,NA,NA,NA,37554,38554,2.7,37903,38885,2.6,"1,253,531","6,595,056",0.19007132,99632,0.015107074,59.1,50.98,10973,42102.63789
"Cleveland-Elyria, OH",Ohio,2077240,6.317486677,0.077,10.7,22,370,4,0.03,11,50,86,46295,47783,3.2,47458,48843,2.9,"2,228,586","11,605,090",0.192035219,149213,0.012857548,59.95,38.55,128448,61835.89763
"Cleveland, TN",Tennessee,115788,5.063663552,NA,NA,NA,NA,NA,NA,NA,NA,NA,35045,36344,3.7,38084,39487,3.7,"1,253,531","6,595,056",0.19007132,99632,0.015107074,58.8,53.81,4511,38959.13221
"Coeur d'Alene, ID",Idaho,138494,5.141430959,NA,NA,NA,NA,NA,NA,NA,NA,NA,37350,38605,3.4,36796,37862,2.9,"523,561","1,652,828",0.316766778,23059,0.01395124,N/A,N/A,5186,37445.66552
"College Station-Bryan, TX",Texas,228660,5.359190199,NA,NA,NA,NA,NA,NA,NA,NA,NA,34856,35797,2.7,34172,35123,2.8,"7,315,567","27,429,639",0.266703,392337,0.014303396,69.05,40.09,9122,39893.29135
"Colorado Springs, CO",Colorado,645613,5.809972267,0.069,NA,NA,45,1,NA,NA,NA,35,42379,43447,2.5,39012,39795,2,"844,873","5,448,819",0.155056169,54116,0.009931693,48.95,16.56,29850,46235.12847
"Columbia, MO",Missouri,162642,5.211232706,0.065,NA,NA,NA,NA,NA,NA,NA,NA,41035,42302,3.1,40713,42085,3.4,"1,361,318","6,076,204",0.224040865,81504,0.013413638,54.5,42.64,8303,51050.77409
"Columbia, SC",South Carolina,767598,5.885133834,0.07,9.4,22,3,1,0,NA,NA,72,38668,40420,4.5,38779,40422,4.2,"878,915","4,894,834",0.179559715,81328,0.016615068,66.55,46.26,38370,49987.10262
"Columbus, GA-AL",Alabama,294865,5.469623226,0.066,9.6,34,NA,NA,0.36,NA,NA,NA,35119,36484,3.9,36226,37426,3.3,"1,107,330","4,853,875",0.228133193,88846,0.018304138,65.6,46.76,13730,46563.68168
"Columbus, GA-AL",Alabama,294865,5.469623226,0.066,9.6,34,NA,NA,0.36,NA,NA,NA,35119,36484,3.9,36226,37426,3.3,"1,107,330","4,853,875",0.228133193,88846,0.018304138,65.6,46.76,13730,46563.68168
"Columbus, GA-AL",Georgia,294865,5.469623226,0.066,9.6,34,NA,NA,0.36,NA,NA,NA,35119,36484,3.9,36226,37426,3.3,"1,744,976","10,199,398",0.171086176,135878,0.013322159,65.6,46.76,13730,46563.68168
"Columbus, GA-AL",Georgia,294865,5.469623226,0.066,9.6,34,NA,NA,0.36,NA,NA,NA,35119,36484,3.9,36226,37426,3.3,"1,744,976","10,199,398",0.171086176,135878,0.013322159,65.6,46.76,13730,46563.68168
"Columbus, IN",Indiana,76794,4.885327289,0.071,8.2,18,5,NA,NA,4,NA,NA,44443,45575,2.5,46407,47656,2.7,"1,810,264","6,612,768",0.273752837,104515,0.015805031,53.45,44.21,5890,76698.70042
"Columbus, OH",Ohio,1901974,6.279204576,0.072,8.7,18,4,2,0.01,12,42,52,44917,46570,3.7,44343,45870,3.4,"2,228,586","11,605,090",0.192035219,149213,0.012857548,52.9,56.11,124381,65395.74148
"Corpus Christi, TX",Texas,428185,5.631631449,0.062,9.1,25,3,NA,NA,NA,NA,45,41617,42721,2.7,41071,41975,2.2,"7,315,567","27,429,639",0.266703,392337,0.014303396,72.15,31.7,22907,53497.90394
"Corvallis, OR",Oregon,85579,4.932367207,NA,NA,NA,NA,NA,NA,NA,NA,NA,39807,41676,4.7,36916,38554,4.4,"737,393","4,024,634",0.18321989,47264,0.011743677,52.65,42.76,4409,51519.64851
